Jurisdiction,Publication Date,Publication Year,Application Number,Title,Abstract,Applicants,Inventors,Owners,Document_type,CPC_classification,IPCR Classifications,legal_status
US,4/21/2022,2022,US 202117451278 A,COLLABORATIVE ROBOT NETWORK WITH HYBRID ELECTRO-MECHANICAL PLANT MANAGEMENT METHODS,"An autonomous ground vehicle for agricultural plant and soil management operations. According to some embodiments, autonomous ground vehicle includes: a camera unit configured to generate images of agricultural ground soil and plant organisms, a first mechanical arm having an end effector comprising a hoe portion and an electrode portion, a second mechanical arm having an end effector comprising an electrode portion, a high voltage booster electrically connected to the electrode portions, an electronic memory storage medium comprising computer-executable instructions; one or more processors in electronic communication with the electronic memory storage medium, configured to execute the computer-executable instructions stored in an electronic memory storage medium for implementing a plant species control management operation comprising electrical control and mechanical control options.",AIGEN INC,WURDEN RICHARD THEODORE,AIGEN INC (2021-10-18),Patent Application,G01N33/0098;;G01N2033/245;;G01N33/24;;A01M21/046;;B25J5/007;;B25J9/026;;B25J9/0084;;H02S20/30;;G05D2201/0201;;G05D1/0246;;G05D1/101;;A01B76/00;;A01B79/005;;Y02E10/50;;Y02E70/30;;Y02P60/12;;A01M21/046;;G01N33/24;;G01N33/0098;;B25J9/1679;;B25J15/0019;;H02S10/40;;G05D2201/0201;;G05D1/0231;;G05D1/0094;;G05D1/0088;;G05D1/0212;;G01N2033/245;;H02S40/38,A01M21/04;;B25J9/16;;B25J15/00;;G01N33/00;;G01N33/24;;G05D1/00;;G05D1/02;;H02S10/40;;H02S40/38,PENDING,,,,
WO,4/28/2022,2022,US 2021/0055466 W,COLLABORATIVE ROBOT NETWORK WITH HYBRID ELECTRO-MECHANICAL PLANT MANAGEMENT METHODS,"An autonomous ground vehicle for agricultural plant and soil management operations. According to some embodiments, autonomous ground vehicle includes: a camera unit configured to generate images of agricultural ground soil and plant organisms, a first mechanical arm having an end effector comprising a hoe portion and an electrode portion, a second mechanical arm having an end effector comprising an electrode portion, a high voltage booster electrically connected to the electrode portions, an electronic memory storage medium comprising computer-executable instructions; one or more processors in electronic communication with the electronic memory storage medium, configured to execute the computer-executable instructions stored in an electronic memory storage medium for implementing a plant species control management operation comprising electrical control and mechanical control options.",AIGEN INC,WURDEN RICHARD,,Patent Application,G01N33/0098;;G01N2033/245;;G01N33/24;;A01M21/046;;B25J5/007;;B25J9/026;;B25J9/0084;;H02S20/30;;G05D2201/0201;;G05D1/0246;;G05D1/101;;A01B76/00;;A01B79/005;;Y02E10/50;;Y02E70/30;;Y02P60/12;;A01M21/046;;G01N33/24;;G01N33/0098;;B25J9/1679;;B25J15/0019;;H02S10/40;;G05D2201/0201;;G05D1/0231;;G05D1/0094;;G05D1/0088;;G05D1/0212;;G01N2033/245;;H02S40/38,G05D1/02;;A01B76/00;;G05D1/00;;G06T7/00,PENDING,,,,
US,3/2/2021,2021,US 201916528508 A,Smart irrigation,A vehicular gesture control system includes sensors such as IoT (internet of things) sensors that can share data with other vehicles and that can communicate with the cloud to provide intelligent handling of the irrigation system.,TRAN BAO;;TRAN HA,TRAN BAO;;TRAN HA,,Granted Patent,G06Q30/0206;;G05D1/102;;G05D1/0094;;G06Q50/02;;A01M7/00;;A01M7/0089;;A01G25/167;;G06Q10/06;;G06Q10/0637;;B64C39/024;;H04L9/3239;;H04L2209/56;;H04L9/3247;;A01B79/005;;G06T7/0004;;G06T2207/10032;;G06T2207/30188;;G06T2207/30261;;G06F3/0346;;Y02A40/22;;G06V20/188;;G06V20/10;;G06V10/58;;G06V20/17;;G06V10/82;;H04L9/50;;G06V10/764;;B64U50/11;;B64U2101/20;;B64U2201/00;;B64U2101/30;;B64U2101/60;;B64U10/10;;B64U10/13;;B64U30/20;;B64U50/19;;G05D1/102;;G05D1/0088;;A01B79/005;;A01C23/047;;B64C39/024;;A01G25/09;;A01G25/165;;A01G25/167;;G05B17/02;;G06F3/017;;G16Y20/20;;G16Y10/05;;A01B79/02;;G06Q30/0206;;G06T7/0002;;H04L9/0643;;G06Q50/02;;G06Q2220/00;;A01G22/00;;G06V20/188;;H04L9/50;;B64U30/20;;B64U2101/30;;G06V10/764;;G06V10/82;;G06V10/58;;G06V20/17;;G06V20/10,A01G25/16;;A01B79/00;;A01B79/02;;A01C23/04;;A01G25/09;;B64C39/02;;G05B17/02;;G05D1/00;;G05D1/10;;G06F3/01;;G06F3/0481;;G06K9/00;;G06Q30/02;;G06T7/00;;G16Y10/05;;G16Y20/20;;H04L9/06,ACTIVE,,,,
US,7/25/2019,2019,US 201815879739 A,IDENTIFICATION AND LOCALIZATION OF ANOMALOUS CROP HEALTH PATTERNS,A method and system for generating a map identifying the size and location of anomalous crop health patterns of a geographic area. Predictive crop health forecasting based historical crop health images generates expected crop health images. Statistical parametric mapping is used to model differences in the expected crop health images and current crop health images to generate a statistical parametric map. Regions of anomalous crop health based on the modeled differences are identified in the statistical parametric map. The number of the identified anomalous crop health regions and the size of each of the identified anomalous crop health regions are determined. The statistical significance of the size and number of the anomalous crop health regions relative to the expected crop health is quantified. A map of anomalous crop health patterns delineates the anomalous crop health regions and the statistical significance of the size and number of anomalous crop health regions.,IBM,MCKENNA SEAN A;;BUESSER BEAT;;TIRUPATHI SESHU,INTERNATIONAL BUSINESS MACHINES CORPORATION (2018-01-08),Patent Application,G06T7/00;;G06T2207/10032;;G06T2207/10024;;G06T2207/20081;;G06T2207/20076;;G06T2207/20084;;G06V20/188;;G06T2207/30188;;G06T7/0002;;G06T2207/10032;;G06T7/00;;G06T2207/10024;;G06T2207/20081;;G06T2207/20076;;G06V20/188,G06K9/00;;G06T7/00,ACTIVE,,,,
US,4/22/2003,2003,US 72137200 A,Methods and apparatus for precision agriculture operations utilizing real time kinematic global positioning system systems,"Real time kinematic (RTK) global positioning system (GPS) technology is integrated with precision farming methodologies to provide highly accurate seeding, cultivating, planting and/or harvesting operations. RTK GPS systems are used to control fully or semi-autonomous vehicles in these operations and may allow for precision planting of seeds (e.g., from a seeder equipped with an RTK GPS receiver and related equipment) and/or precision weed removal (e.g., using a vehicle fitted with weed eradication mechanisms such as augers and/or herbicide sprayers). Crop specific fertilizer/pesticide application is also enabled through the use of centimeter-level accurate positioning techniques.",TRIMBLE NAVIGATION LTD,KELLER RUSSELL J;;NICHOLS MARK E;;LANGE ARTHUR F,,Granted Patent,A01C21/005;;A01C21/005;;A01B39/18;;A01B39/18;;A01B79/005;;A01B79/005;;Y02A40/10;;Y02A40/10;;Y10S111/904;;Y10S111/904,G01S19/14;;A01B79/00;;G01S19/23,EXPIRED,,,,
US,11/19/2020,2020,US 201916528355 A,DRONE,A drone with vehicular control system/sensors that can share data with other vehicles and that can communicate with the cloud to provide intelligent handling of the irrigation system. The drone can be used to dispense soil additives and to inspect plants/trees on the farm.,TRAN BAO;;TRAN HA,TRAN BAO;;TRAN HA,,Patent Application,G06Q30/0206;;G05D1/102;;G05D1/0094;;G06Q50/02;;A01M7/00;;A01M7/0089;;A01G25/167;;G06Q10/06;;G06Q10/0637;;B64C39/024;;H04L9/3239;;H04L2209/56;;H04L9/3247;;A01B79/005;;G06T7/0004;;G06T2207/10032;;G06T2207/30188;;G06T2207/30261;;G06F3/0346;;Y02A40/22;;G06V20/188;;G06V20/10;;G06V10/58;;G06V20/17;;G06V10/82;;H04L9/50;;G06V10/764;;B64U50/11;;B64U2101/20;;B64U2201/00;;B64U2101/30;;B64U2101/60;;B64U10/10;;B64U10/13;;B64U30/20;;B64U50/19;;G05D1/102;;G05D1/0088;;A01B79/005;;A01C23/047;;B64C39/024;;A01G25/09;;A01G25/165;;A01G25/167;;G05B17/02;;G06F3/017;;G16Y20/20;;G16Y10/05;;A01B79/02;;G06Q30/0206;;G06T7/0002;;H04L9/0643;;G06Q50/02;;G06Q2220/00;;A01G22/00;;G06V20/188;;H04L9/50;;B64U30/20;;B64U2101/30;;G06V10/764;;G06V10/82;;G06V10/58;;G06V20/17;;G06V20/10,G06K9/00;;A01B79/00;;A01C23/04;;B64C39/02;;G05D1/00;;G05D1/10,DISCONTINUED,,,,
US,6/24/2021,2021,US 202016923027 A,AUTONOMOUS AGRICULTURAL TREATMENT DELIVERY,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include receiving data representing actions to be performed relative to a subset of agricultural objects, positioning an emitter of an agricultural projectile delivery system adjacent to an agricultural object, identifying a corresponding action to be performed in association with the agricultural object, selecting an emitter to perform the action, and causing the emitter to emit an agricultural projectile to intercept the agricultural object.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,A01M99/00;;G05D1/0246;;G05D1/0274;;G05D2201/0201;;G06V20/56;;A01M99/00;;G05D2201/0201;;G05D1/0044,A01M99/00;;G05D1/00,PENDING,,,,
US,9/20/2022,2022,US 201916724270 A,Pixel projectile delivery system to replicate an image on a surface using pixel projectiles,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include receiving data representing an image, detecting a portion of the image associated with a unit of spatial translation relative to a reference, identifying a subset of pixels to be formed on the surface, and causing emission of a subset of pixel projectiles directed to impact a portion of a surface to form a replica of a portion of the image.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Granted Patent,G06V20/20;;G06V20/56;;G06V10/255;;G06V20/68;;G06V20/188;;G06V10/764;;G06T7/0004;;G01J3/2803;;G01J3/2823;;G06T2207/30188;;G06T2207/10036;;H04N23/11;;G06V10/255;;G06V10/764;;G06V20/188;;G06V20/20;;G06V20/56;;G06V20/68;;G06V20/13,G06T7/00;;G01J3/28;;G06V20/13;;H04N5/33,ACTIVE,,,,
US,7/22/2021,2021,US 202117202910 A,METHODS AND SYSTEMS FOR CROP PEST MANAGEMENT UTILIZING GEOSPATIAL IMAGES AND MICROCLIMATE DATA,"Systems and methods for predicting pest susceptibility, comprising steps to receive geocoded geospatial image data of a crop field from sensors, receive microclimate data of the crop field, determine a degree of canopy closure for one or more portions of the crop field, and then generate a pest susceptibility index utilizing a risk model based on the degree of canopy closure and the microclimate data. The pest susceptibility index comprises a measure of a susceptibility of a crop in the crop field to one or more crop pests. In some embodiments, the method also comprises steps to generate a treatment plan (e.g., pesticide application) and to estimate an anticipated return on investment (ROI). The system therefore leverages remote-sensed data, machine data, analytics, and machine learning to enable farmers to predict, prevent, and control the outbreak of crop pests to greatest economic effect. Such a system addresses a fundamental problem in agriculture.",CERES IMAGING INC,STUEVE KIRK;;ROGERS BARCLAY,CERES IMAGING INC (2020-04-24),Patent Application,A01M99/00;;G06T7/0004;;G06T2207/10036;;G06T2207/20081;;G06T2207/20084;;G06T2207/30188;;G06Q10/04;;G06Q50/02;;G06V20/188;;G06V10/82;;G06V10/764;;G06F18/24323;;G06T7/001;;A01M99/00;;A01G25/16;;G06T2207/20084;;G06T2207/20081;;G06T2207/10036;;G06T2207/30188;;G06V10/764;;G06V10/82;;G06V20/188,G06T7/00;;A01G25/16;;A01M99/00,PENDING,,,,
US,9/1/2016,2016,US 201615149888 A,PRECISION AGRICULTURE SYSTEM,"A device may receive sensor data from a sensor device located on a particular farm. The device may identify an alert, associated with the particular farm, based on the sensor data and using a model. The model may be created based on imagery data and numeric data relating to a group of farms. The device may determine, using the model, a recommended course of action to address the alert, and provide, to a user device associated with the particular farm, the recommended course of action.",ACCENTURE GLOBAL SERVICES LTD,MATHUR ANKUR;;BARSAMIAN PAUL M;;GARRISON DANIEL P;;MULLAN PRAMILA;;MENDEZ JUAN C,ACCENTURE GLOBAL SERVICES LIMITED (2015-03-14),Patent Application,G06Q50/02;;G06N20/00;;G06Q50/02;;G01C11/025;;G01N33/0098;;Y02A40/10;;G06N20/00;;A01B79/005;;G01N33/0098;;G01N33/24;;G06N20/00;;G06Q50/02;;G01C11/025;;G06F30/00;;Y02A40/10;;G06N7/01;;A01C7/00;;A01C15/00;;A01D41/00;;A01F25/16;;A01G25/00,G06N7/00;;G06F17/50;;G06N99/00,ACTIVE,,,,
US,3/23/2021,2021,US 202016875842 A,Methods and systems for crop pest management utilizing geospatial images and microclimate data,"Systems and methods for predicting pest susceptibility, comprising steps to receive geocoded geospatial image data of a crop field from sensors, receive microclimate data of the crop field, determine a crop vigor map for the crop field, and then generate a pest susceptibility map utilizing a risk model based on the crop vigor map and the microclimate data. The pest susceptibility map comprises a measure of a susceptibility of a crop in the crop field to one or more crop pests at one or more locations. In some embodiments, the method also comprises steps to generate a treatment plan (e.g., pesticide application) and to estimate an anticipated return on investment (ROI). The system therefore leverages remote-sensed data, machine data, analytics, and machine learning to enable farmers to predict, prevent, and control the outbreak of crop pests to greatest economic effect. Such a system addresses a fundamental problem in agriculture.",CERES IMAGING INC,STUEVE KIRK;;ROGERS BARCLAY,CERES IMAGING INC (2020-04-24),Granted Patent,A01M99/00;;G06T7/0004;;G06T2207/10036;;G06T2207/20081;;G06T2207/20084;;G06T2207/30188;;G06Q10/04;;G06Q50/02;;G06V20/188;;G06V10/82;;G06V10/764;;G06F18/24323;;G06T7/001;;A01M99/00;;A01G25/16;;G06T2207/20084;;G06T2207/20081;;G06T2207/10036;;G06T2207/30188;;G06V10/764;;G06V10/82;;G06V20/188,G06K9/00;;A01G25/16;;A01M99/00;;G06T7/00,ACTIVE,,,,
EP,7/20/2016,2016,EP 16151175 A,PRECISION AGRICULTURE SYSTEM,"A device may receive sensor data from a sensor device located on a particular farm. The device may identify an alert, associated with the particular farm, based on the sensor data and using a model. The model may be created based on imagery data and numeric data relating to a group of farms. The device may determine, using the model, a recommended course of action to address the alert, and provide, to a user device associated with the particular farm, the recommended course of action.",ACCENTURE GLOBAL SERVICES LTD,MATHUR ANKUR;;BARSAMIAN PAUL M;;GARRISON DANIEL P;;MULLAN PRAMILA;;MENDEZ JUAN C,,Patent Application,G06Q50/02;;G06N20/00;;G06Q50/02;;G01C11/025;;G01N33/0098;;Y02A40/10;;G06N20/00;;A01B79/005;;G01N33/0098;;G01N33/24;;G06N20/00;;G06Q50/02;;G01C11/025;;G06F30/00;;Y02A40/10;;G06N7/01;;A01C7/00;;A01C15/00;;A01D41/00;;A01F25/16;;A01G25/00,G06Q50/02,ACTIVE,,,,
US,6/18/2020,2020,US 201916707355 A,MAPPING FIELD ANOMALIES USING DIGITAL IMAGES AND MACHINE LEARNING MODELS,"A computer-implemented method for generating an improved map of field anomalies using digital images and machine learning models is disclosed. In an embodiment, a method comprises: obtaining a shapefile that defines boundaries of an agricultural plot and boundaries of the field containing the plot; obtaining a plurality of plot images within the field from one or more image capturing devices that are located within the boundaries of the field; calibrating and pre-processing the plurality of plot images to create a plot map of the agricultural plot at a plot level; based on the plot map of the agricultural plot, generating a plot grid; based on the plot grid and the plot map, generating a plurality of plot tiles; based on the plurality of plot tiles, generating, using a first machine learning model and a plurality of first image classifiers corresponding to one or more first anomalies, a set of classified plot images that depicts at least one anomaly; based on the set of classified plot images, generating a plot anomaly map for the agricultural plot; transmitting the plot anomaly map to one or more controllers that control one or more agricultural machines or database systems to perform agricultural functions on the agricultural plot.",CLIMATE CORP,PESHLOV BOYAN;;WANG WEILIN,CLIMATE LLC (2019-12-10),Patent Application,G06T7/0004;;G06T2207/10024;;G06T2207/10048;;G06T2207/20081;;G06T2207/20084;;G06T2207/30188;;G06N3/08;;A01B79/005;;G06V20/194;;G06V20/188;;G06V10/955;;G06V10/454;;G06V10/82;;G06T5/00;;G06T2207/10032;;G06T2207/20021;;G06N3/045;;B64U2101/30;;G06T7/0004;;A01B69/008;;B64C39/02;;G06T2207/10036;;G06T2207/30188;;G06T2207/20081;;G06T2207/10048;;G06T2207/10024;;G06T2207/20084;;A01G25/16;;G06N3/08;;G06V20/188;;G06V20/194;;G06N3/045;;B64U2101/30;;G06V10/82;;G06V10/454;;G06V10/955,G06T7/00;;A01B69/04;;B64C39/02;;G06K9/00;;G06N3/04;;G06N3/08,DISCONTINUED,,,,
WO,6/18/2020,2020,US 2019/0065270 W,MAPPING FIELD ANOMALIES USING DIGITAL IMAGES AND MACHINE LEARNING MODELS,"A computer-implemented method for generating an improved map of field anomalies using digital images and machine learning models is disclosed. In an embodiment, a method comprises: obtaining a shapefile that defines boundaries of an agricultural plot and boundaries of the field containing the plot; obtaining a plurality of plot images; calibrating and pre-processing the plurality of plot images to create a plot map of the agricultural plot at a plot level; based on the plot map, generating a plot grid; based on the plot grid and the plot map, generating a plurality of plot tiles; based on the plurality of plot tiles, generating, using a machine learning model and a plurality of image classifiers corresponding to one or more anomalies, a set of classified plot images that depicts at least one anomaly; based on the set of classified plot images, generating a plot anomaly map for the agricultural plot.",CLIMATE CORP,PESHLOV BOYAN;;WANG WEILIN,,Patent Application,G06T7/0004;;G06T2207/10024;;G06T2207/10048;;G06T2207/20081;;G06T2207/20084;;G06T2207/30188;;G06N3/08;;A01B79/005;;G06V20/194;;G06V20/188;;G06V10/955;;G06V10/454;;G06V10/82;;G06T5/00;;G06T2207/10032;;G06T2207/20021;;G06N3/045;;B64U2101/30;;G06T7/0004;;A01B69/008;;B64C39/02;;G06T2207/10036;;G06T2207/30188;;G06T2207/20081;;G06T2207/10048;;G06T2207/10024;;G06T2207/20084;;A01G25/16;;G06N3/08;;G06V20/188;;G06V20/194;;G06N3/045;;B64U2101/30;;G06V10/82;;G06V10/454;;G06V10/955,G01N33/00,PENDING,,,,
US,7/14/2016,2016,US 201514663989 A,PRECISION AGRICULTURE SYSTEM,"A device may receive sensor data from a sensor device located on a particular farm. The device may identify an alert, associated with the particular farm, based on the sensor data and using a model. The model may be created based on imagery data and numeric data relating to a group of farms. The device may determine, using the model, a recommended course of action to address the alert, and provide, to a user device associated with the particular farm, the recommended course of action.",ACCENTURE GLOBAL SERVICES LTD,MATHUR ANKUR;;BARSAMIAN PAUL M;;GARRISON DANIEL P;;MULLAN PRAMILA;;MENDEZ JUAN CARLOS,ACCENTURE GLOBAL SERVICES LIMITED (2015-03-17),Patent Application,G06Q50/02;;G06N20/00;;G06Q50/02;;G01C11/025;;G01N33/0098;;Y02A40/10;;G06N20/00;;A01B79/005;;G01N33/0098;;G01N33/24;;G06N20/00;;G06Q50/02;;G01C11/025;;G06F30/00;;Y02A40/10;;G06N7/01;;A01C7/00;;A01C15/00;;A01D41/00;;A01F25/16;;A01G25/00,G01N33/00;;A01G1/00;;G01N33/24,ACTIVE,,,,
US,12/7/2021,2021,US 202117319269 A,IoT-based farming and plant growth ecosystem,"An agricultural method includes providing a positive air pressure chamber to prevent outside contaminants from entering the chamber; growing crops in a plurality of cells in the chamber, each cell having multi-grow benches or levels, each cell further having connectors to vertical hoists for vertical movements in the chamber; maintaining pre-set temperature, humidity, carbon dioxide, watering and lighting levels to achieve predetermined plant growth; using motorized transport rails to deliver benches for operations including seeding, harvesting, grow media recovery, and bench wash; dispensing seeds in the cell with a mechanical seeder coupled to the transport rails; growing the crops with computer controlled nutrients, light and air level; and harvesting the crops and delivering the harvested crop at a selected outlet of the chamber.",TRAN BAO;;TRAN HA,TRAN BAO;;TRAN HA,,Granted Patent,G06Q30/0206;;G05D1/102;;G05D1/0094;;G06Q50/02;;A01M7/00;;A01M7/0089;;A01G25/167;;G06Q10/06;;G06Q10/0637;;B64C39/024;;H04L9/3239;;H04L2209/56;;H04L9/3247;;A01B79/005;;G06T7/0004;;G06T2207/10032;;G06T2207/30188;;G06T2207/30261;;G06F3/0346;;Y02A40/22;;G06V20/188;;G06V20/10;;G06V10/58;;G06V20/17;;G06V10/82;;H04L9/50;;G06V10/764;;B64U50/11;;B64U2101/20;;B64U2201/00;;B64U2101/30;;B64U2101/60;;B64U10/10;;B64U10/13;;B64U30/20;;B64U50/19;;G05D1/102;;G05D1/0088;;A01B79/005;;A01C23/047;;B64C39/024;;A01G25/09;;A01G25/165;;A01G25/167;;G05B17/02;;G06F3/017;;G16Y20/20;;G16Y10/05;;A01B79/02;;G06Q30/0206;;G06T7/0002;;H04L9/0643;;G06Q50/02;;G06Q2220/00;;A01G22/00;;G06V20/188;;H04L9/50;;B64U30/20;;B64U2101/30;;G06V10/764;;G06V10/82;;G06V10/58;;G06V20/17;;G06V20/10,G06K9/00;;A01B79/00;;A01B79/02;;A01C23/04;;A01G25/09;;A01G25/16;;B64C39/02;;G05B17/02;;G05D1/00;;G05D1/10;;G06F3/01;;G06Q30/02;;G06T7/00;;G16Y10/05;;G16Y20/20;;H04L9/06,ACTIVE,,,,
WO,3/24/2022,2022,US 2021/0050608 W,SYSTEMS AND METHODS OF URBAN ROOFTOP AGRICULTURE WITH SMART CITY DATA INTEGRATION,"An IoT-enabled network of urban rooftop farms. Systems and methods include receiving image data; processing the image data with an artificial intelligence model; determining, based on the processing of the image data, a set of pixels of the image data meets one or more thresholds; and based on determining the set of pixels meets the one or more thresholds, recording the set of pixels as a viable agriculture space. Systems and methods also include receiving data from one or more sensors, wherein each of the one or more sensors is associated with an agriculture space; generating one or more metrics indicative of farming viability associated with the agriculture space based on the data received form the one or more sensors; and generating a user interface comprising the generated metrics.",DIRTSAT INC,TIBALLI CHRISTINE,,Patent Application,Y02A30/60;;G06V10/82;;G06V20/194;;G06V20/13,G06K9/62,PENDING,,,,
US,2/2/2023,2023,US 202217877909 A,OPTIMIZED SOIL SAMPLING FOR DIGITAL SOIL FERTILITY MAPPING USING MACHINE LEARNING AND REMOTELY-SENSED INFORMATION,"A soil modeling and mapping framework for use in precision agriculture analyzes remotely-sensed data pertaining to characteristics of one or more agricultural fields, and determines optimal sampling locations from information in remotely-sensed information, terrain derivatives and satellite imagery, to develop a customized sampling design for modeling soil properties in such agricultural fields that optimized for the particular landscape in such fields. The soil modeling and mapping framework then analyzes soil samples collected based on the customized sampling design in machine learning-based models that predict soil properties in sampled, semi-sampled, and unsampled target fields. The predicted soil properties are used to develop highly-accurate maps of soil properties such as fertility maps, which may further be used for defining and creating one or more management zones with recommendations for applying the right amount of nutrients at variable rates in the correct areas.",SOILSERDEM LLC,KHALEDIAN YONES;;LINTON DANIEL,SOILSERDEM LLC (2022-08-01),Patent Application,G01N2033/245;;G01N33/24;;G01S17/89;;G01S17/88;;G01C21/3826;;G01N33/24;;G01N2033/245;;G01C21/3852;;G06N3/08;;G01S17/89,G01C21/00;;G01N33/24;;G01S17/89;;G06N3/08,PENDING,,,,
US,10/17/2017,2017,US 201514663989 A,Precision agriculture system,"A device may receive sensor data from a sensor device located on a particular farm. The device may identify an alert, associated with the particular farm, based on the sensor data and using a model. The model may be created based on imagery data and numeric data relating to a group of farms. The device may determine, using the model, a recommended course of action to address the alert, and provide, to a user device associated with the particular farm, the recommended course of action.",ACCENTURE GLOBAL SERVICES LTD,MATHUR ANKUR;;BARSAMIAN PAUL M;;GARRISON DANIEL P;;MULLAN PRAMILA;;MENDEZ JUAN CARLOS,ACCENTURE GLOBAL SERVICES LIMITED (2015-03-17),Granted Patent,G06Q50/02;;G06N20/00;;G06Q50/02;;G01C11/025;;G01N33/0098;;Y02A40/10;;G06N20/00;;A01B79/005;;G01N33/0098;;G01N33/24;;G06N20/00;;G06Q50/02;;G01C11/025;;G06F30/00;;Y02A40/10;;G06N7/01;;A01C7/00;;A01C15/00;;A01D41/00;;A01F25/16;;A01G25/00,G06N7/00;;A01C7/00;;A01C15/00;;A01D41/00;;A01F25/16;;A01G1/00;;A01G25/00;;G01N33/00;;G01N33/24;;G06F17/50;;G06N99/00;;G06Q50/02,ACTIVE,,,,
US,6/24/2021,2021,US 201916724270 A,PIXEL PROJECTILE DELIVERY SYSTEM TO REPLICATE AN IMAGE ON A SURFACE USING PIXEL PROJECTILES,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include receiving data representing an image, detecting a portion of the image associated with a unit of spatial translation relative to a reference, identifying a subset of pixels to be formed on the surface, and causing emission of a subset of pixel projectiles directed to impact a portion of a surface to form a replica of a portion of the image.",SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI;;VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;REWIS BENJAMIN;;LEGER PATRICK CHRISTOPHER;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,G06V20/20;;G06V20/56;;G06V10/255;;G06V20/68;;G06V20/188;;G06V10/764;;G06T7/0004;;G01J3/2803;;G01J3/2823;;G06T2207/30188;;G06T2207/10036;;H04N23/11;;G06V10/255;;G06V10/764;;G06V20/188;;G06V20/20;;G06V20/56;;G06V20/68;;G06V20/13,G06T7/00;;G01J3/28;;G06K9/00;;H04N5/33,ACTIVE,,,,
US,3/16/2023,2023,US 202217947724 A,PIXEL PROJECTILE DELIVERY SYSTEM TO REPLICATE AN IMAGE ON A SURFACE USING PIXEL PROJECTILES,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include receiving data representing an image, detecting a portion of the image associated with a unit of spatial translation relative to a reference, identifying a subset of pixels to be formed on the surface, and causing emission of a subset of pixel projectiles directed to impact a portion of a surface to form a replica of a portion of the image.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,,Patent Application,G06V20/20;;G06V20/56;;G06V10/255;;G06V20/68;;G06V20/188;;G06V10/764;;G06T7/0004;;G01J3/2803;;G01J3/2823;;G06T2207/30188;;G06T2207/10036;;H04N23/11;;G06V10/255;;G06V10/764;;G06V20/188;;G06V20/20;;G06V20/56;;G06V20/68;;G06V20/13,G06T7/00;;G01J3/28;;G06V20/13;;H04N5/33,PENDING,,,,
